Dakar;117382;116303;233685;17;49.8
Diourbel;90602;81385;171987;12;47.3
Fatick;44687;41846;86533;6;48.4
Kaffrine;38658;35594;74252;5;47.9
Kaolack;57979;52517;110496;8;47.5
Kedougou;9122;8865;17988;1;49.3
Kolda;39189;38002;77191;6;49.2
Louga;37082;43726;80809;6;54.1
Matam;36960;35175;72135;5;48.8
Saint-Louis;45910;43497;89406;6;48.7
Sedhiou;27951;27123;55075;4;49.2
Tambacounda;43423;41843;85267;6;49.1
Thies;88749;85529;174279;13;49.1
Ziguinchor;29302;28379;57681;4;49.2
Senegal;706995;679785;1386781;100;49.0